,STATEFP,COUNTYFP,GEOID,NAME,NAMELSAD,DEV_RATIO,COUNT
0,40,035,40035,Craig,Craig County,0.039166584286626054,2195111
1,40,031,40031,Comanche,Comanche County,0.07397604995482031,3118658
2,46,015,46015,Brule,Brule County,0.029849073566629924,2435955
3,49,019,49019,Grand,Grand County,0.004595643204215487,10600910
4,46,047,46047,Fall River,Fall River County,0.00905589291624665,5033518
5,40,067,40067,Jefferson,Jefferson County,0.02484915928268006,2227681
6,41,055,41055,Sherman,Sherman County,0.021613926828962387,2391930
7,53,071,53071,Walla Walla,Walla Walla County,0.042466259477212824,3738309
8,49,031,49031,Piute,Piute County,0.02476497236210207,2203677
9,40,113,40113,Osage,Osage County,0.03501105675822666,6630334
10,36,123,36123,Yates,Yates County,0.06182103662934564,1081428
11,36,071,36071,Orange,Orange County,0.16680492010995085,2413442
12,46,037,46037,Day,Day County,0.030481448795605687,3139877
13,46,057,46057,Hamlin,Hamlin County,0.03836258669456391,1548540
14,53,045,53045,Mason,Mason County,0.0753978178770628,2882789
15,49,049,49049,Utah,Utah County,0.07918470304460055,6170169
16,41,027,41027,Hood River,Hood River County,0.027638623289572995,1534266
17,41,021,41021,Gilliam,Gilliam County,0.01748439339998818,3519024
18,49,015,49015,Emery,Emery County,0.007480385599832279,12868989
19,49,017,49017,Garfield,Garfield County,0.008395812982258343,14987947
20,46,021,46021,Campbell,Campbell County,0.025635639159907297,2218279
21,40,027,40027,Cleveland,Cleveland County,0.17114924321106653,1605996
22,41,017,41017,Deschutes,Deschutes County,0.033432598737491485,8790911
23,36,019,36019,Clinton,Clinton County,0.05329367778185155,3215691
24,38,041,38041,Hettinger,Hettinger County,0.029322070781216958,3262730
25,35,013,35013,Doña Ana,Doña Ana County,0.026077208432377715,10977402
26,05,035,05035,Crittenden,Crittenden County,0.06704729059359095,1831379
27,46,011,46011,Brookings,Brookings County,0.052126747466060885,2316354
28,38,043,38043,Kidder,Kidder County,0.02842637501212533,4123600
29,36,029,36029,Erie,Erie County,0.24720768863367348,3033777
30,34,029,34029,Ocean,Ocean County,0.25516682581071654,2178320
31,22,031,22031,De Soto,De Soto Parish,0.05492631560956168,2574358
32,35,023,35023,Hidalgo,Hidalgo County,0.004827274281210812,9916155
33,30,037,30037,Golden Valley,Golden Valley County,0.0038907344924498303,3385222
34,05,041,05041,Desha,Desha County,0.029619192711104855,2358437
35,53,073,53073,Whatcom,Whatcom County,0.046696262430373,6239857
36,36,035,36035,Fulton,Fulton County,0.05534166715574075,1533510
37,05,039,05039,Dallas,Dallas County,0.04746563194057954,1922570
38,16,019,16019,Bonneville,Bonneville County,0.03010980733438399,5469580
39,40,025,40025,Cimarron,Cimarron County,0.022939477155470855,5297636
40,40,019,40019,Carter,Carter County,0.06513142319837018,2399272
41,35,021,35021,Harding,Harding County,0.0037364482443319066,6117842
42,30,039,30039,Granite,Granite County,0.005752845394786308,4987445
43,36,045,36045,Jefferson,Jefferson County,0.07060953623948604,3873896
44,30,029,30029,Flathead,Flathead County,0.01227746812199632,15126653
45,53,029,53029,Island,Island County,0.22924413024035958,610502
46,05,055,05055,Greene,Greene County,0.06081249610276236,1667848
47,36,047,36047,Kings,Kings County,0.7800625255088087,237663
48,36,053,36053,Madison,Madison County,0.06830207714821684,1903090
49,46,027,46027,Clay,Clay County,0.04860955534586848,1200731
50,09,015,09015,Windham,Windham County,0.09722873179828084,1499927
51,46,029,46029,Codington,Codington County,0.053647243065872395,2063778
52,05,045,05045,Faulkner,Faulkner County,0.09591241700923468,1911056
53,38,035,38035,Grand Forks,Grand Forks County,0.056932765857189996,4142553
54,05,147,05147,Woodruff,Woodruff County,0.031972907706491575,1709416
55,22,033,22033,East Baton Rouge,East Baton Rouge Parish,0.3586186052148518,1353212
56,38,031,38031,Foster,Foster County,0.03948155876193843,1861426
57,38,033,38033,Golden Valley,Golden Valley County,0.017965958798067824,2884622
58,38,055,38055,McLean,McLean County,0.02951250144414495,6699466
59,40,147,40147,Washington,Washington County,0.07710422133882477,1221295
60,16,017,16017,Bonner,Bonner County,0.01570339511877566,5523901
61,16,025,16025,Camas,Camas County,0.00667199154889659,3104920
62,05,057,05057,Hempstead,Hempstead County,0.047916527962326184,2132834
63,41,047,41047,Marion,Marion County,0.09770762224999614,3431677
64,05,043,05043,Drew,Drew County,0.04096139347912779,2404801
65,46,033,46033,Custer,Custer County,0.008949422413005347,4486770
66,16,011,16011,Bingham,Bingham County,0.023607684687596497,6101276
67,46,055,46055,Haakon,Haakon County,0.010827046103058461,5257482
68,05,033,05033,Crawford,Crawford County,0.06790501912914647,1738708
69,05,051,05051,Garland,Garland County,0.10513021962870342,2114159
70,05,037,05037,Cross,Cross County,0.04006504217578586,1790838
71,22,113,22113,Vermilion,Vermilion Parish,0.04030228793875307,3729689
72,41,033,41033,Josephine,Josephine County,0.06054899932294161,4724851
73,46,045,46045,Edmunds,Edmunds County,0.028053842946901802,3312523
74,49,027,49027,Millard,Millard County,0.009315560607762438,19649059
75,40,153,40153,Woodward,Woodward County,0.03912474258570136,3586145
76,22,007,22007,Assumption,Assumption Parish,0.05369826137437121,1049047
77,16,005,16005,Bannock,Bannock County,0.04206400665281068,3302063
78,16,001,16001,Ada,Ada County,0.13373019474870232,3051779
79,30,001,30001,Beaverhead,Beaverhead County,0.006394841070372376,16034644
80,35,003,35003,Catron,Catron County,0.002936685611855305,19940507
81,34,007,34007,Camden,Camden County,0.5228261634004715,654074
82,22,001,22001,Acadia,Acadia Parish,0.09217158837268426,1891993
83,38,017,38017,Cass,Cass County,0.0742586498548808,5087542
84,40,023,40023,Choctaw,Choctaw County,0.03150361231511957,2300879
85,30,003,30003,Big Horn,Big Horn County,0.007024979228441409,14430790
86,34,009,34009,Cape May,Cape May County,0.18805868204815954,822807
87,38,063,38063,Nelson,Nelson County,0.03317755930911975,2903137
88,40,095,40095,Marshall,Marshall County,0.04733416194366915,1228563
89,40,003,40003,Alfalfa,Alfalfa County,0.04486126049969562,2536264
90,05,029,05029,Conway,Conway County,0.056481442871614745,1630748
91,53,001,53001,Adams,Adams County,0.030508289021801974,5553671
92,38,009,38009,Bottineau,Bottineau County,0.03670012341543831,4884316
93,49,003,49003,Box Elder,Box Elder County,0.00863181912704082,19365327
94,53,007,53007,Chelan,Chelan County,0.027489689886455275,8615812
95,46,003,46003,Aurora,Aurora County,0.036855363880534286,2051099
96,41,001,41001,Baker,Baker County,0.014800907740400828,8887563
97,41,009,41009,Columbia,Columbia County,0.0738860699488653,1980847
98,22,019,22019,Calcasieu,Calcasieu Parish,0.1473365182233547,3149036
99,05,031,05031,Craighead,Craighead County,0.09270634239575613,2050960
100,16,013,16013,Blaine,Blaine County,0.009901561132929743,7646370
101,22,009,22009,Avoyelles,Avoyelles Parish,0.05046452651851162,2491354
102,30,007,30007,Broadwater,Broadwater County,0.013044993065560747,3564816
103,36,007,36007,Broome,Broome County,0.10686208042022569,2059084
104,36,005,36005,Bronx,Bronx County,0.7809742779134933,139180
105,09,013,09013,Tolland,Tolland County,0.13261993677583417,1200174
106,35,005,35005,Chaves,Chaves County,0.009482669074222707,17482736
107,46,009,46009,Bon Homme,Bon Homme County,0.04005644259886864,1673913
108,40,001,40001,Adair,Adair County,0.041876645027027974,1660687
109,44,005,44005,Newport,Newport County,0.3228763066037587,317713
110,30,005,30005,Blaine,Blaine County,0.006511537385388359,12198041
111,36,001,36001,Albany,Albany County,0.21060570520088093,1534740
112,36,003,36003,Allegany,Allegany County,0.05503665941596889,2976725
113,38,005,38005,Benson,Benson County,0.030975975327173014,4142533
114,38,021,38021,Dickey,Dickey County,0.03432696046484882,3286746
115,53,013,53013,Columbia,Columbia County,0.022535127221806724,2513720
116,22,027,22027,Claiborne,Claiborne Parish,0.047986491785582,2208434
117,38,023,38023,Divide,Divide County,0.035327363139193275,3724167
118,34,023,34023,Middlesex,Middlesex County,0.6041999355979207,913014
119,16,021,16021,Boundary,Boundary County,0.010646803293979693,3677254
120,49,013,49013,Duchesne,Duchesne County,0.018418710284722653,9369820
121,40,011,40011,Blaine,Blaine County,0.04206194862562175,2701658
122,46,019,46019,Butte,Butte County,0.009056204213594992,6522269
123,34,019,34019,Hunterdon,Hunterdon County,0.15585013933064099,1258876
124,35,009,35009,Curry,Curry County,0.04575671529991325,4051755
125,41,011,41011,Coos,Coos County,0.05877888174323794,4682413
126,40,007,40007,Beaver,Beaver County,0.03703595363364893,5230431
127,30,013,30013,Cascade,Cascade County,0.023436204419599205,7802970
128,34,037,34037,Sussex,Sussex County,0.11666630999605068,1542039
129,34,005,34005,Burlington,Burlington County,0.21008454651457026,2359293
130,30,011,30011,Carter,Carter County,0.003916307504031661,9635607
131,22,101,22101,St. Mary,St. Mary Parish,0.05124965785425063,2118980
132,30,025,30025,Fallon,Fallon County,0.007492305373478417,4670792
133,30,075,30075,Powder River,Powder River County,0.003451645822236763,9490545
134,22,107,22107,Tensas,Tensas Parish,0.031056102587836934,1845209
135,30,053,30053,Lincoln,Lincoln County,0.009464895347137259,10574866
136,38,003,38003,Barnes,Barnes County,0.034759408017321844,4355195
137,30,047,30047,Lake,Lake County,0.019474708199822947,4758993
138,05,081,05081,Little River,Little River County,0.03885762806767105,1625215
139,46,101,46101,Moody,Moody County,0.04203673852821709,1498808
140,22,123,22123,West Carroll,West Carroll Parish,0.045203456995713445,1037664
141,30,109,30109,Wibaux,Wibaux County,0.010273517969285648,2561148
142,46,091,46091,Marshall,Marshall County,0.029427691202551523,2550319
143,35,051,35051,Sierra,Sierra County,0.0051062694653452876,12190896
144,22,127,22127,Winn,Winn Parish,0.051349889831964236,2753521
145,16,081,16081,Teton,Teton County,0.03517482911193737,1296609
146,05,097,05097,Montgomery,Montgomery County,0.040739161508995494,2303042
147,46,087,46087,McCook,McCook County,0.042639600024094934,1660100
148,44,003,44003,Kent,Kent County,0.3293865242968016,505725
149,46,005,46005,Beadle,Beadle County,0.0408316670430587,3639822
150,53,003,53003,Asotin,Asotin County,0.030438966389991527,1843558
151,22,071,22071,Orleans,Orleans Parish,0.22458367008910307,1002210
152,05,075,05075,Lawrence,Lawrence County,0.0460499956296501,1704669
153,05,123,05123,St. Francis,St. Francis County,0.047106651804715696,1849017
154,05,009,05009,Boone,Boone County,0.058105354568303555,1731923
155,16,083,16083,Twin Falls,Twin Falls County,0.029807338657636292,5549271
156,22,095,22095,St. John the Baptist,St. John the Baptist Parish,0.05871635238628974,1179467
157,40,081,40081,Lincoln,Lincoln County,0.04820454210956811,2778929
158,05,053,05053,Grant,Grant County,0.05440830827494918,1821413
159,34,027,34027,Morris,Morris County,0.3198313825305029,1386096
160,49,021,49021,Iron,Iron County,0.01860404076292406,9501968
161,05,011,05011,Bradley,Bradley County,0.04579049638437257,1878927
162,05,021,05021,Clay,Clay County,0.04370320048799885,1845906
163,16,075,16075,Payette,Payette County,0.036938630140235004,1180661
164,53,009,53009,Clallam,Clallam County,0.04660578666344286,5103701
165,16,065,16065,Madison,Madison County,0.038916351652612195,1361844
166,38,029,38029,Emmons,Emmons County,0.028849035248162843,4474985
167,49,023,49023,Juab,Juab County,0.010891231927347037,9802656
168,36,093,36093,Schenectady,Schenectady County,0.23336778762001623,602731
169,40,077,40077,Latimer,Latimer County,0.027202496084377262,2098006
170,36,069,36069,Ontario,Ontario County,0.08922847922308222,1906611
171,36,039,36039,Greene,Greene County,0.0629833816516959,1893690
172,36,091,36091,Saratoga,Saratoga County,0.12400603718262065,2428285
173,35,027,35027,Lincoln,Lincoln County,0.005851011072176615,13903409
174,46,069,46069,Hyde,Hyde County,0.019617385164397604,2492585
175,09,005,09005,Litchfield,Litchfield County,0.09587899130974778,2718218
176,05,019,05019,Clark,Clark County,0.04326325687280794,2540701
177,53,027,53027,Grays Harbor,Grays Harbor County,0.056370634892150884,5572600
178,38,001,38001,Adams,Adams County,0.03037353369844507,2845339
179,36,025,36025,Delaware,Delaware County,0.04525551420746847,4222955
180,49,029,49029,Morgan,Morgan County,0.018250753740258262,1757900
181,35,019,35019,Guadalupe,Guadalupe County,0.005118358164030003,8724282
182,09,007,09007,Middlesex,Middlesex County,0.1788740148328088,1109837
183,05,003,05003,Ashley,Ashley County,0.05120409482018105,2706639
184,41,029,41029,Jackson,Jackson County,0.04618421294167085,8062452
185,41,013,41013,Crook,Crook County,0.011210115776948812,8596789
186,46,123,46123,Tripp,Tripp County,0.02669655029295721,4654946
187,46,051,46051,Grant,Grant County,0.04094810157292467,1978480
188,40,005,40005,Atoka,Atoka County,0.027881296622965297,2849186
189,36,027,36027,Dutchess,Dutchess County,0.15270259005054804,2375166
190,40,085,40085,Love,Love County,0.035918896939903695,1532174
191,40,137,40137,Stephens,Stephens County,0.05246320753209095,2565131
192,49,053,49053,Washington,Washington County,0.027421648296377527,6992541
193,22,119,22119,Webster,Webster Parish,0.08081495996016645,1769363
194,22,003,22003,Allen,Allen Parish,0.05493705780990397,2204086
195,36,021,36021,Columbia,Columbia County,0.07720882463143597,1865551
196,41,035,41035,Klamath,Klamath County,0.014968745380619927,17656590
197,41,041,41041,Lincoln,Lincoln County,0.061180020407341745,2856815
198,22,037,22037,East Feliciana,East Feliciana Parish,0.03933133377959876,1311626
199,46,119,46119,Sully,Sully County,0.021076342814917073,3080041
200,41,063,41063,Wallowa,Wallowa County,0.0055794236536073636,9069754
201,16,047,16047,Gooding,Gooding County,0.028618085478213675,2111462
202,40,071,40071,Kay,Kay County,0.05760455511742835,2719403
203,46,017,46017,Buffalo,Buffalo County,0.015076060688963363,1403616
204,22,043,22043,Grant,Grant Parish,0.05347322391572687,1912733
205,34,015,34015,Gloucester,Gloucester County,0.3211134069490032,970355
206,22,089,22089,St. Charles,St. Charles Parish,0.07982545841679858,1142192
207,30,063,30063,Missoula,Missoula County,0.02010746578935808,7534863
208,38,051,38051,McIntosh,McIntosh County,0.031275053141041655,2862665
209,22,021,22021,Caldwell,Caldwell Parish,0.042222285058422675,1556074
210,22,059,22059,LaSalle,LaSalle Parish,0.052679593936217704,1906203
211,30,023,30023,Deer Lodge,Deer Lodge County,0.014957190825493658,2132954
212,22,067,22067,Morehouse,Morehouse Parish,0.04060276915834588,2319694
213,40,043,40043,Dewey,Dewey County,0.03151734182738339,2901482
214,22,015,22015,Bossier,Bossier Parish,0.09144899536786019,2495391
215,38,049,38049,McHenry,McHenry County,0.03426140195563376,5501030
216,16,045,16045,Gem,Gem County,0.021525871833744076,1627948
217,22,025,22025,Catahoula,Catahoula Parish,0.036904282996593755,2127856
218,40,127,40127,Pushmataha,Pushmataha County,0.025050742063760508,4094729
219,22,075,22075,Plaquemines,Plaquemines Parish,0.024712409109567273,3432567
220,49,001,49001,Beaver,Beaver County,0.011516368039052514,7459904
221,05,049,05049,Fulton,Fulton County,0.046241119972932794,1785186
222,05,121,05121,Randolph,Randolph County,0.04042820291436471,1887890
223,34,031,34031,Passaic,Passaic County,0.37267178238164694,567011
224,49,007,49007,Carbon,Carbon County,0.02738555393948359,4272362
225,30,051,30051,Liberty,Liberty County,0.02199849478674625,4164194
226,40,117,40117,Pawnee,Pawnee County,0.04502032276892103,1711627
227,30,087,30087,Rosebud,Rosebud County,0.0048619481305559546,14466012
228,35,039,35039,Rio Arriba,Rio Arriba County,0.0078927738358994,16967799
229,40,093,40093,Major,Major County,0.036935802273876536,2756702
230,34,035,34035,Somerset,Somerset County,0.40648905001311036,877170
231,22,115,22115,Vernon,Vernon Parish,0.06007891193537842,3860506
232,30,049,30049,Lewis and Clark,Lewis and Clark County,0.013296082248043786,10065747
233,22,103,22103,St. Tammany,St. Tammany Parish,0.11590806226389379,3110888
234,22,065,22065,Madison,Madison Parish,0.03511746573404472,1873142
235,16,049,16049,Idaho,Idaho County,0.0033320946987050893,24470493
236,41,057,41057,Tillamook,Tillamook County,0.054311129668038256,3238084
237,22,049,22049,Jackson,Jackson Parish,0.05703068672046604,1669908
238,22,041,22041,Franklin,Franklin Parish,0.03938853386151782,1828654
239,22,013,22013,Bienville,Bienville Parish,0.05296533510078893,2365736
240,22,017,22017,Caddo,Caddo Parish,0.14828820482274913,2696263
241,16,031,16031,Cassia,Cassia County,0.017564582583098624,7425454
242,46,099,46099,Minnehaha,Minnehaha County,0.11024094070629828,2342070
243,46,111,46111,Sanborn,Sanborn County,0.035132239293456775,1641683
244,22,035,22035,East Carroll,East Carroll Parish,0.02964114888904597,1273230
245,46,063,46063,Harding,Harding County,0.006483774992117484,7706930
246,46,031,46031,Corson,Corson County,0.010380307225004829,7279746
247,40,041,40041,Delaware,Delaware County,0.057202166983328334,2280036
248,30,069,30069,Petroleum,Petroleum County,0.0018587040309151496,4816797
249,36,043,36043,Herkimer,Herkimer County,0.033011590879353375,4195799
250,38,007,38007,Billings,Billings County,0.009127174922908404,3319428
251,40,079,40079,Le Flore,Le Flore County,0.034967000321442274,4629136
252,36,067,36067,Onondaga,Onondaga County,0.20112552585142318,2318383
253,40,009,40009,Beckham,Beckham County,0.04708534832048098,2601340
254,46,085,46085,Lyman,Lyman County,0.017032610430516966,4912048
255,34,017,34017,Hudson,Hudson County,0.7085419611413238,166964
256,16,009,16009,Benewah,Benewah County,0.015869582369612955,2256014
257,09,001,09001,Fairfield,Fairfield County,0.41124206468262714,1883195
258,46,135,46135,Yankton,Yankton County,0.052397735196642495,1531612
259,35,055,35055,Taos,Taos County,0.010149169973060184,6343770
260,40,109,40109,Oklahoma,Oklahoma County,0.3989682393800729,2067340
261,40,105,40105,Nowata,Nowata County,0.03589768752161628,1671194
262,22,011,22011,Beauregard,Beauregard Parish,0.05062632393586629,3355053
263,38,069,38069,Pierce,Pierce County,0.03538104915738003,3114690
264,30,055,30055,McCone,McCone County,0.006532209886669157,7720052
265,22,085,22085,Sabine,Sabine Parish,0.048362058274799634,2911001
266,30,093,30093,Silver Bow,Silver Bow County,0.03356986517057017,2069207
267,44,007,44007,Providence,Providence County,0.3071220347614997,1244883
268,34,033,34033,Salem,Salem County,0.10734241173700301,1002232
269,49,055,49055,Wayne,Wayne County,0.007506021850685153,7097901
270,40,149,40149,Washita,Washita County,0.042966623998809524,2903044
271,05,001,05001,Arkansas,Arkansas County,0.03771644163101324,2974936
272,22,005,22005,Ascension,Ascension Parish,0.2282108104448099,871361
273,05,111,05111,Poinsett,Poinsett County,0.04688599281533481,2197458
274,34,001,34001,Atlantic,Atlantic County,0.1672709219599734,1756432
275,22,057,22057,Lafourche,Lafourche Parish,0.04538888245233733,3573342
276,22,081,22081,Red River,Red River Parish,0.045208518841273145,1157857
277,05,017,05017,Chicot,Chicot County,0.03218189473514766,1987919
278,53,011,53011,Clark,Clark County,0.2668485392125611,1888502
279,40,057,40057,Harmon,Harmon County,0.03456537656397669,1550135
280,05,015,05015,Carroll,Carroll County,0.05369638249078543,1838392
281,22,061,22061,Lincoln,Lincoln Parish,0.09592778883839495,1359679
282,16,003,16003,Adams,Adams County,0.005872581546156426,3941878
283,38,019,38019,Cavalier,Cavalier County,0.03154767822491264,4345296
284,05,091,05091,Miller,Miller County,0.06975891270939827,1835020
285,38,027,38027,Eddy,Eddy County,0.031450537842662614,1853609
286,35,017,35017,Grant,Grant County,0.008835248857582651,11417675
287,34,025,34025,Monmouth,Monmouth County,0.44591621407073634,1400808
288,05,107,05107,Phillips,Phillips County,0.03782445032934136,2093117
289,09,003,09003,Hartford,Hartford County,0.39635672081726336,2160087
290,05,025,05025,Cleveland,Cleveland County,0.03848691866117014,1723027
291,53,017,53017,Douglas,Douglas County,0.03477390981204405,5320023
292,53,005,53005,Benton,Benton County,0.06578436887263492,5064881
293,46,079,46079,Lake,Lake County,0.044687144674819684,1655174
294,53,063,53063,Spokane,Spokane County,0.11874848886546312,5124461
295,44,001,44001,Bristol,Bristol County,0.5615877143487967,81526
296,38,013,38013,Burke,Burke County,0.03463102188972151,3248648
297,35,025,35025,Lea,Lea County,0.02501257382177754,12645320
298,30,041,30041,Hill,Hill County,0.021108338835975734,8391423
299,46,007,46007,Bennett,Bennett County,0.016740260922967713,3425992
300,49,005,49005,Cache,Cache County,0.049937893865904665,3375673
301,40,099,40099,Murray,Murray County,0.04555081368764105,1223381
